Date,Venue,Opponent,Goals For,Goals Against,Expected Goals (xG),Expected Goals Against (xGA),Possession,Key Passes,Passes into Penalty Area,Crosses into Penalty Area,Interceptions,Clearances,Errors,Home Venue,Clean Sheets
2019-08-09,Home,Norwich City,4,1,1.8,0.9,57,12,16,4,14,6,1,1,0
2019-08-17,Away,Southampton,2,1,1.3,1.9,63,12,10,2,10,30,2,0,0
2019-08-24,Home,Arsenal,3,1,2.5,1.0,52,19,14,2,9,14,2,1,0
2019-08-31,Away,Burnley,3,0,1.0,0.9,63,12,11,0,9,20,1,0,0
2019-09-14,Home,Newcastle Utd,3,1,3.0,0.3,74,19,18,3,8,8,0,1,0
2019-09-22,Away,Chelsea,2,1,0.6,1.3,45,6,9,3,12,40,0,0,0
2019-09-28,Away,Sheffield Utd,1,0,1.9,1.3,70,6,12,0,6,27,0,0,0
2019-10-05,Home,Leicester City,2,1,3.5,0.1,51,14,10,3,14,28,0,1,0
2019-10-20,Away,Manchester Utd,1,1,1.2,0.7,66,9,9,3,10,19,0,0,0
2019-10-27,Home,Tottenham,2,1,2.6,1.2,67,16,17,6,12,9,0,1,0
2019-11-02,Away,Aston Villa,2,1,2.4,0.4,73,20,16,4,8,24,1,0,0
2019-11-10,Home,Manchester City,3,1,1.1,1.3,45,8,9,4,10,28,0,1,0
2019-11-23,Away,Crystal Palace,2,1,1.4,1.0,60,10,9,1,6,30,0,0,0
2019-11-30,Home,Brighton,2,1,1.3,0.8,44,8,8,0,11,20,1,1,0
2019-12-04,Home,Everton,5,2,2.0,1.5,58,10,11,1,7,26,0,1,0
2019-12-07,Away,Bournemouth,3,0,2.4,0.1,73,18,20,2,8,5,0,0,0
2019-12-14,Home,Watford,2,0,1.4,1.0,68,7,11,0,9,14,0,1,0
2019-12-26,Away,Leicester City,4,0,3.2,0.1,59,13,15,10,8,17,0,0,0
2019-12-29,Home,Wolves,1,0,1.2,0.5,62,9,15,1,12,17,1,1,0
2020-01-02,Home,Sheffield Utd,2,0,2.8,0.6,74,16,14,1,9,9,1,1,0
2020-01-11,Away,Tottenham,1,0,1.2,1.2,67,11,13,3,6,9,2,0,0
2020-01-19,Home,Manchester Utd,2,0,1.9,1.3,53,14,9,3,10,14,1,1,0
2020-01-23,Away,Wolves,2,1,1.1,1.8,53,8,4,3,11,21,0,0,0
2020-01-29,Away,West Ham,2,0,2.8,0.7,70,9,9,2,8,14,2,0,0
2020-02-01,Home,Southampton,4,0,3.2,0.8,62,13,6,0,11,24,1,1,0
2020-02-15,Away,Norwich City,1,0,2.0,0.3,63,13,17,2,5,8,0,0,0
2020-02-24,Home,West Ham,3,2,2.4,0.7,69,21,17,6,8,22,0,1,0
2020-02-29,Away,Watford,0,3,0.3,2.3,70,5,16,1,5,13,3,0,0
2020-03-07,Home,Bournemouth,2,1,1.8,1.4,74,12,12,3,11,20,0,1,0
2020-06-21,Away,Everton,0,0,0.7,0.9,69,7,8,1,10,3,0,0,0
2020-06-24,Home,Crystal Palace,4,0,2.4,0.1,73,11,21,4,15,1,1,1,0
2020-07-02,Away,Manchester City,0,4,1.1,2.4,53,9,11,2,15,8,1,0,0
2020-07-05,Home,Aston Villa,2,0,0.7,0.7,70,6,14,0,5,18,0,1,0
2020-07-08,Away,Brighton,3,1,2.5,2.4,56,17,14,2,11,21,1,0,0
2020-07-11,Home,Burnley,1,1,1.7,0.4,71,18,20,2,6,17,1,1,0
2020-07-15,Away,Arsenal,1,2,2.1,0.8,69,19,16,4,10,4,2,0,0
2020-07-22,Home,Chelsea,5,3,1.7,2.4,50,7,6,2,5,16,0,1,0
2020-07-26,Away,Newcastle Utd,3,1,0.6,0.1,74,10,10,3,8,10,0,0,0
